breach_date	data_class	total_number_of_affected_accounts
2020-01-27	Social media profiles	9705172
2020-01-27	Usernames	9705172
2020-07-14	Dates of birth	2856769
2020-07-14	Email addresses	2856769
2020-07-14	IP addresses	2856769
2020-07-14	Names	2856769
2020-07-14	Passwords	2856769
2020-07-14	Phone numbers	2856769
2020-07-14	Physical addresses	2856769
2020-10-28	Dates of birth	3924454
2020-10-28	Email addresses	3924454
2020-10-28	Geographic locations	3924454
2020-10-28	IP addresses	3924454
2020-10-28	Names	3924454
2020-10-28	Passwords	3924454
2020-10-28	Phone numbers	3924454
2020-10-28	Social media profiles	3924454
2018-11-04	Email addresses	858
2018-11-04	Passwords	858
2014-01-04	Email addresses	148366
2014-01-04	Passwords	148366
2016-11-28	Email addresses	377377
2016-11-28	Passwords	377377
2016-11-28	Usernames	377377
2012-08-01	Email addresses	7088010
2012-08-01	IP addresses	7088010
2012-08-01	Passwords	7088010
2012-08-01	Usernames	7088010
2013-11-07	Email addresses	2983472
2013-11-07	Names	2983472
2013-11-07	Passwords	2983472
2013-11-07	Usernames	2983472
2012-07-11	Email addresses	453427
2012-07-11	Passwords	453427
2013-06-02	Dates of birth	13258797
2013-06-02	Email addresses	13258797
2013-06-02	Names	13258797
2013-06-02	Passwords	13258797
2013-06-02	Phone numbers	13258797
2013-06-02	Physical addresses	13258797
2013-06-02	Usernames	13258797
2014-09-07	Email addresses	1186564
2014-09-07	Passwords	1186564
2019-02-15	Email addresses	18241518
2019-02-15	IP addresses	18241518
2019-02-15	Names	18241518
2019-02-15	Social media profiles	18241518
2019-02-15	Usernames	18241518
2012-02-21	Email addresses	1327567
2012-02-21	Passwords	1327567
2018-10-05	Email addresses	66147869
2018-10-05	Employers	66147869
2018-10-05	Geographic locations	66147869
2018-10-05	Job titles	66147869
2018-10-05	Names	66147869
2018-10-05	Social media profiles	66147869
2017-05-17	Email addresses	16472873
2017-05-17	Passwords	16472873
2017-05-17	Usernames	16472873
2020-01-12	Dates of birth	23927853
2020-01-12	Drinking habits	23927853
2020-01-12	Education levels	23927853
2020-01-12	Email addresses	23927853
2020-01-12	Ethnicities	23927853
2020-01-12	Family structure	23927853
2020-01-12	Genders	23927853
2020-01-12	Geographic locations	23927853
2020-01-12	Income levels	23927853
2020-01-12	Names	23927853
2020-01-12	Nicknames	23927853
2020-01-12	Physical attributes	23927853
2020-01-12	Political views	23927853
2020-01-12	Relationship statuses	23927853
2020-01-12	Religions	23927853
2020-01-12	Sexual orientations	23927853
2020-01-12	Smoking habits	23927853
2015-05-11	Dates of birth	3474763
2015-05-11	Email addresses	3474763
2015-05-11	Genders	3474763
2015-05-11	Geographic locations	3474763
2015-05-11	IP addresses	3474763
2015-05-11	Passwords	3474763
2015-05-11	Spoken languages	3474763
